"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
14230347,ur.01303046333.95,116,20,1,project_pi,9334158; 9530600; 9725729; 9982044,R01CA208526,n,n,,,3.5,10.1,10.2,,publication,16,0,26,26,0,,,,8,8,0,,,,,
6180918,ur.0772400500.20,48,27,3,project_pi,10063860; 10304865; 9589884; 9638784; 9741070; 9848517,R01CA233613; R03CA223615,n,n,,,6,8,7.8,,publication,16,0,19,19,0,,,,8,8,0,,,,,
14386243,ur.01317301136.45,46,8,1,project_pi,9590889,R15CA231510,n,n,,,7,8.8,17.4,,publication,37,0,13,13,0,,,,8,8,0,,,,,
6877033,ur.01232753712.82,91,15,3,project_pi,10199436; 10297675; 10448514,R01CA251930; R21CA259943,n,n,,,8,10.6,17.3,,publication,15,0,19,19,0,,,,8,8,0,,,,,
8243325,ur.01137445546.78,34,25,1,project_pi,9279070,R01CA178974,y,n,,,8.5,9.7,10.9,,publication,8,0,11,11,0,,,,8,8,0,,,,,
15144638,ur.01366132503.49,56,13,2,project_pi,10286742; 10439886,R21CA263768,n,n,,,5,5.8,7.9,,publication,13,0,15,15,0,,,,8,8,0,,,,,
14298850,ur.014753320630.90; ur.011566120611.29; ur.010362753430.71,29,10,1,project_pi,10528837,U01CA269409,n,n,,,6,8.1,9.6,,publication,11,0,9,9,0,,,,8,8,0,,,,,
8634560,ur.0611730057.77,27,8,1,project_pi,10121785; 10320460,R01CA249178,n,n,,,10,10,13,,publication,16,0,13,13,0,,,,8,8,0,,,,,
8142170,ur.0761407732.25,12,10,2,project_pi,10006562; 9480909; 9808811,R01CA158323; R21CA241025,n,n,,,8,7.9,8.5,,publication,9,0,13,13,0,,,,8,8,0,,,,,
9408005,ur.01130375766.33,90,34,2,project_pi,10357052,R21CA267512,n,n,,,8,8.3,8,,publication,12,0,14,14,0,,,,8,8,0,,,,,
14253422,ur.010720506061.16; ur.01170355716.60,19,10,1,project_pi,10169381; 10407043; 10511945; 9818447; 9930058,R01CA233752,n,n,,,5,8.1,8.5,,publication,10,0,10,10,0,,,,8,8,0,,,,,
9544175,ur.01153742662.90,20,11,1,project_pi,10183195; 10415876; 9577297; 9706788; 9970192,R37CA230645,n,n,,,5,5.2,5.8,,publication,15,0,13,13,0,,,,8,8,0,,,,,
10930392,ur.0677344645.32,68,8,1,project_pi,10225877,R21CA253197,n,n,,,5,6.3,9.4,,publication,38,0,7,7,0,,,,8,8,0,,,,,
1868187,ur.01241450654.17,32,9,1,project_pi,9583048; 9727948,R21CA222438,n,n,,,11,10.5,12.4,,publication,22,0,11,11,0,,,,8,8,0,,,,,
10978707,ur.0667123054.48,23,8,2,project_pi,10183986; 10370423,R01CA258688,n,n,,,12,15.8,30.7,,publication,12,0,33,33,0,,,,8,8,0,,,,,
14325721,ur.0641400713.46; ur.01103541215.22,13,8,3,project_pi,10025885; 10207560; 10425370; 10497511; 9606134; 9741076,R01CA272945; R21CA232233; R37CA251629,n,n,,,22,44.1,70.5,,publication,9,0,55,55,0,,,,8,8,0,,,,,
7837542,ur.0762573220.93,41,31,3,project_pi,10120846; 10377334; 9481886,R01CA108607; R01CA248873,n,n,,,6,6.5,6.6,,publication,10,0,11,11,0,,,,8,8,0,,,,,
1903799,ur.01167504456.83,126,8,1,project_pi,10048865; 10206073; 10456076,R01CA244171,n,n,,,8,17.2,17.4,,publication,26,0,19,19,0,,,,8,8,0,,,,,
15056131,ur.01260455147.30,60,13,4,project_pi,10139560; 10161751; 10399536; 10472211; 10512498,DP2CA280625; R00CA226342; R01CA274355,n,n,,,8,9.5,12.4,,publication,19,0,25,25,0,,,,8,8,0,,,,,
11202427,ur.0751611432.07,20,8,1,project_pi,9378959; 9537493,R03CA219725,n,n,,,5,7.8,5.8,,publication,15,0,4,4,0,,,,8,8,0,,,,,
8026471,ur.016632376657.33; ur.013115227457.10,84,57,5,project_pi,9205496; 9437753; 9448878; 9629962,R01CA189224; R01CA215142,n,n,,,5.5,8.1,7.8,,publication,12,0,10,10,0,,,,8,8,0,,,,,
8536188,ur.01073176475.35,33,12,1,project_pi,9374579; 9501699,R21CA224194,n,n,,,6,7,9,,publication,12,0,8,8,0,,,,8,8,0,,,,,
1968997,ur.0712362667.50,37,20,3,project_pi,10358979; 9306402; 9458143,R03CA216010; R03CA259884,y,n,,,5,6.1,7.1,,publication,8,0,5,5,0,,,,8,8,0,,,,,
11927431,ur.01301254630.53,23,8,1,project_pi,9657294; 9841366,R03CA223717,n,n,,,10,14.9,13,,publication,11,0,12,12,0,,,,8,8,0,,,,,
14390334,ur.014040406337.04,26,15,1,project_pi,10114706,R15CA249712,n,n,,,7,7.5,7.2,,publication,12,0,11,11,0,,,,8,8,0,,,,,
1880063,ur.0752074531.83,19,10,1,project_pi,10129907; 10356123; 9311999; 9456686; 9673588; 9863294; 9901465,R01CA201235,n,n,,,9,10,11.5,,publication,12,0,16,16,0,,,,8,8,0,,,,,
8432262,ur.014053521371.01; ur.0741031043.43,53,19,2,project_pi,9223679,R33CA182384,n,n,,,5,5,4.4,,publication,13,0,4,4,0,,,,8,8,0,,,,,
12588248,ur.016052541211.47,27,13,2,project_pi,10356415; 9746376; 9872994,R21CA230475; R21CA259721,n,n,,,6,7.2,8.5,,publication,15,0,13,13,0,,,,8,8,0,,,,,
1884048,ur.01254671734.33,183,54,1,project_pi,10052006; 10197783; 10433859; 9185947; 9386725; 9525094,R01CA073808,n,n,,,3,4,4,,publication,17,0,11,11,0,,,,8,8,0,,,,,
9714711,ur.01017664434.50,48,30,3,project_pi,10146975; 10362740; 9265019; 9715148; 9913480,R00CA176847; R01CA237563,n,n,,,8.5,9.3,9.5,,publication,14,0,17,17,0,,,,8,8,0,,,,,
10129953,ur.011365476077.52,17,11,1,project_pi,9280886,R21CA198701,n,n,,,11,11.5,12.6,,publication,9,0,21,21,0,,,,8,8,0,,,,,
8473765,ur.0575612442.12,61,9,1,project_pi,10290592; 10470933,R21CA263415,n,n,,,11,12.2,15.1,,publication,28,0,25,25,0,,,,8,8,0,,,,,
7337157,ur.011117466504.35,28,19,8,project_pi,10117199; 10286303; 10360586; 10431224; 10447751; 9231413; 9302312; 9513490; 9518491; 9667405; 9719797; 9903259; 9956599,R01CA207034; R01CA217931; R03CA255193; R21CA195665; R21CA270508,n,n,,,5,4.2,4.1,,publication,12,0,4,4,0,,,,8,8,0,,,,,
9385380,ur.0703776751.55,135,10,1,project_pi,10222150,U01CA260526,n,n,,,8,12.3,22.1,,publication,34,0,49,49,0,,,,8,8,0,,,,,
8578127,ur.01166755463.71,147,11,1,project_pi,10416454,U01CA258400,n,n,,,6,6.3,7.4,,publication,15,0,6,6,0,,,,8,8,0,,,,,
10436631,ur.01206606074.04,34,17,4,project_pi,9260795; 9318481; 9653060; 9851349,R03CA197227; R03CA234693; R21CA194776,n,n,,,6,7.6,9.6,,publication,9,0,9,9,0,,,,8,8,0,,,,,
10330157,ur.01302220031.28,18,8,1,project_pi,10197583; 10333400; 10512666; 10592946,R01CA248930,n,n,,,10.5,9.1,11.8,,publication,13,0,17,17,0,,,,8,8,0,,,,,
8320211,ur.0706641516.81; ur.01123120270.13,29,8,1,project_pi,10052862; 10213670; 10430005,R37CA234002,n,n,,,6,6.5,9.3,,publication,19,0,6,6,0,,,,8,8,0,,,,,
10720426,ur.011535210160.39,23,16,1,project_pi,9440744,R15CA213071,n,n,,,6,6.3,7.1,,publication,9,0,6,6,0,,,,8,8,0,,,,,
10261695,ur.0727777653.17,19,15,1,project_pi,10119271; 10335977; 9944912,R01CA248304,y,n,,,6,6.5,6.6,,publication,8,0,9,9,0,,,,8,8,0,,,,,
10734158,ur.0612345275.20,86,24,1,project_pi,9359186; 9538621; 9744629,R21CA217754,n,n,,,6,11.1,7.6,,publication,11,0,16,16,0,,,,8,8,0,,,,,
10552697,ur.01070363567.54,15,12,3,project_pi,10061584; 10420610; 9877823,R01CA269977; R03CA246228,n,n,,,11,11.7,12.1,,publication,10,0,8,8,0,,,,8,8,0,,,,,
8346774,ur.010776047737.37,25,17,3,project_pi,10112215; 10360629; 10519540; 9207741; 9947614,R01CA172268; R01CA248736; R01CA263079,n,n,,,13,13.3,15.1,,publication,11,0,10,10,0,,,,8,8,0,,,,,
12267108,ur.01213404241.30,32,13,2,project_pi,10134292; 10373046; 9986408,R01CA250051,n,n,,,5,7.1,10.2,,publication,20,0,15,15,0,,,,8,8,0,,,,,
16133816,ur.015335027106.81; ur.011535454270.27; ur.01030063456.38,193,8,1,project_pi,10437282,R03CA255992,n,n,,,7,9.6,40,,publication,73,0,29,29,0,,,,8,8,0,,,,,
9719187,ur.01005543214.04,20,8,1,project_pi,9282748; 9464456; 9718138; 9942387,R01CA200643,n,n,,,9,13.3,23,,publication,14,0,25,25,0,,,,8,8,0,,,,,
15822351,ur.015716070465.67; ur.01302756051.01,46,12,1,project_pi,10112414; 10311553,R21CA256461,n,n,,,9,11,12.4,,publication,19,0,19,19,0,,,,8,8,0,,,,,
1954453,ur.01226056717.74,45,15,2,project_pi,9258407,R01CA185151,n,n,,,12,13.1,14.3,,publication,27,0,40,40,0,,,,8,8,0,,,,,
8524439,ur.0610455410.44,16,13,3,project_pi,9189594,R21CA187513,n,n,,,5.5,6.3,6.6,,publication,9,0,12,12,0,,,,8,8,0,,,,,
14634517,ur.010766047501.01,21,9,1,project_pi,10514841,R15CA274349,n,n,,,6,6.2,7.6,,publication,9,0,3,3,0,,,,8,8,0,,,,,
6621382,ur.01315037221.03; ur.01143447565.54,36,24,4,project_pi,9303778; 9516926; 9736261,R01CA191207,n,n,,,5,5.7,5.7,,publication,11,0,10,10,0,,,,8,8,0,,,,,
15228025,ur.0631652343.89,34,10,1,project_pi,10031400; 10165677; 10436862,R37CA252312,n,n,,,7,7.3,10.2,,publication,15,0,11,11,0,,,,8,8,0,,,,,
6486214,ur.0772257417.20,24,17,3,project_pi,10350837; 10517586,R01CA261934; R21CA259309,n,n,,,33.5,152.6,120.2,,publication,13,0,25,25,0,,,,8,8,0,,,,,
2105384,ur.0757504034.07,41,18,2,project_pi,9297237; 9512554; 9717099,R01CA095286,n,n,,,6,6.7,6.4,,publication,18,0,4,4,0,,,,8,8,0,,,,,
10565289,ur.01275703367.82,20,15,2,project_pi,10425088,R21CA259630,n,n,,,9,10.1,10.9,,publication,9,0,11,11,0,,,,8,8,0,,,,,
9754420,ur.01072106462.11,19,14,1,project_pi,9839318,R15CA182769,y,n,,,5,7.5,8.1,,publication,8,0,9,9,0,,,,8,8,0,,,,,
10511833,ur.0723324145.18,18,8,1,project_pi,10359449,R03CA259664,n,n,,,7,7.8,10.6,,publication,11,0,7,7,0,,,,8,8,0,,,,,
11694864,ur.01230731720.32,103,9,2,project_pi,10205287; 10385788; 9319633; 9534009,R01CA183811; R01CA251407,n,n,,,8,12.8,15.7,,publication,16,0,18,18,0,,,,8,8,0,,,,,
12531683,ur.013761434332.93,17,9,1,project_pi,10513266,R37CA274352,n,n,,,11,10.3,10.1,,publication,16,0,10,10,0,,,,8,8,0,,,,,
3120995,ur.0612666431.65,30,10,1,project_pi,9653781; 9849274,R21CA224022,n,n,,,8,7.9,8.1,,publication,15,0,8,8,0,,,,8,8,0,,,,,
6798573,ur.0610062423.56,66,12,1,project_pi,10242818; 9795724; 9998903,R21CA240199,n,n,,,9,14.6,41.3,,publication,14,0,20,20,0,,,,8,8,0,,,,,
8437041,ur.015751210714.21,46,13,1,project_pi,9250733; 9461495; 9677635,R01CA194302,n,n,,,14,14.3,16.2,,publication,19,0,14,14,0,,,,8,8,0,,,,,
10305047,ur.01343254162.06,24,13,2,project_pi,9210063; 9414996,R00CA178177,n,n,,,4,4.5,4.9,,publication,10,0,8,8,0,,,,8,8,0,,,,,
14845744,ur.01062064664.14,169,20,1,project_pi,10023175; 9805882,R03CA241841,n,n,,,6,9.2,9,,publication,14,0,18,18,0,,,,8,8,0,,,,,
6367807,ur.016077244737.37,72,25,3,project_pi,9567800,R01CA183869,n,n,,,3,3.8,3.9,,publication,16,0,6,6,0,,,,8,8,0,,,,,
1889284,ur.0776525253.49,52,13,5,project_pi,9185956,R21CA202751,n,n,,,4,5.2,5.6,,Multiple,14,1,12,10,2,,,,8,8,0,,,,,
10434580,ur.01017357615.24,39,28,1,project_pi,9270521; 9490287; 9698306,R01CA196884,n,n,,,7,15.3,17.3,,Multiple,10,1,15,15,1,,,,8,8,0,,,,,
1865761,ur.01345273021.81,70,13,1,project_pi,10520945,R01CA266339,n,n,,,6,13,40.6,,Multiple,16,1,12,12,1,,,,8,8,0,,,,,
16440849,ur.015511441623.09; ur.01120266753.48,16,12,1,project_pi,10189885; 10378636,R21CA259457,n,n,,,8.5,8.4,8.8,,Multiple,8,1,19,18,1,,,,8,8,0,,,,,
2106196,ur.0714465005.14,64,20,1,project_pi,10522534; 9336279; 9545723; 9753161; 9984323,R01CA205975,n,n,,,6,7,7.7,,Multiple,20,1,18,18,1,,,,8,8,0,,,,,
10350150,ur.01314314540.68,51,24,2,project_pi,10084835; 10415457; 9246115; 9414688; 9830844; 9920096,R01CA214072; U01CA269147,n,n,,,6,5.7,5.9,,Multiple,22,1,5,5,1,,,,8,8,0,,,,,
9349618,ur.01320411314.73,42,26,3,project_pi,9323366; 9355102; 9441300; 9542246; 9756342; 9761464; 9981662,R01CA148671; R03CA223622; R21CA208875,n,n,,,9,9.4,10.2,,Multiple,11,1,15,13,2,,,,8,8,0,,,,,
9174816,ur.01332527224.79,121,20,1,project_pi,10316686; 10458731; 9293265; 9512899; 9719788; 9961539,R01CA208834,n,n,,,5,7.2,16.3,,Multiple,25,1,13,12,1,,,,8,8,0,,,,,
9986390,ur.0704336134.50,42,17,1,project_pi,9262165,R01CA172283,n,n,,,6,6.5,5.8,,Multiple,20,1,15,15,1,,,,8,8,0,,,,,
9559333,ur.01151717567.33,41,28,1,project_pi,10129295; 9311552; 9482404; 9689424; 9908057,U01CA207532,n,n,,,8,8,8.5,,Multiple,9,1,10,9,1,,,,8,8,0,,,,,
1863113,ur.012233343224.89,17,15,3,project_pi,10208798; 9185948; 9383657; 9516957; 9722913; 9959184,R01CA163662; R01CA212413,n,n,,,5,5.4,5.5,,Multiple,8,1,8,5,4,,,,8,8,0,,,,,
8609956,ur.0634177304.42,343,12,1,project_pi,10131919; 10219170; 9296836; 9531308; 9749062; 9970428; 9997166,U24CA209996,n,n,,,7,9.1,15.9,,Multiple,17,1,39,37,2,,,,8,8,0,,,,,
1876335,ur.0654226226.41,117,10,1,project_pi,9274826,R01CA185039,n,n,,,7,8.4,14,,Multiple,14,1,19,19,1,,,,8,8,0,,,,,
8667039,ur.01267242131.25,176,16,1,project_pi,9321908,R21CA196426,n,n,,,6,6.9,7.5,,Multiple,37,2,18,17,2,,,,8,8,0,,,,,
1864857,ur.01075543227.28,115,19,2,project_pi,10053328; 10310411,R01CA233862,n,n,,,6,7.4,9.9,,Multiple,22,2,14,13,2,,,,8,8,0,,,,,
1888074,ur.0577074227.54; ur.01123722547.89,36,14,2,project_pi,10522435,R01CA265333,n,n,,,8,9,10.7,,publication,22,0,9,9,0,,,,9,9,0,,,,,
11097245,ur.0634373053.53,23,15,2,project_pi,10232596; 10265579; 10468258,R00CA226353,n,n,,,8,12.8,16.1,,publication,12,0,16,16,0,,,,9,9,0,,,,,
11594921,ur.01256242175.24,113,13,3,project_pi,10241324; 10470919; 9596445; 9790953; 9829839; 9976112; 9989084,R01CA222931,n,n,,,10,11.7,17.6,,publication,38,0,34,34,0,,,,9,9,0,,,,,
2288872,ur.0764153455.23,90,33,4,project_pi,9314202; 9456685,R21CA204036,n,n,,,9.5,9.7,9.9,,publication,16,0,12,12,0,,,,9,9,0,,,,,
10812580,ur.01026161316.29,58,22,4,project_pi,9880753,R15CA238861,n,n,,,5,5.1,5.3,,publication,12,0,6,6,0,,,,9,9,0,,,,,
10029506,ur.0670106460.27,37,17,4,project_pi,10118109; 10209414; 10331082; 9307162; 9465428; 9658460; 9889909,R01CA216344; R01CA251436,n,n,,,8,11.6,14.1,,publication,13,0,31,31,0,,,,9,9,0,,,,,
12212237,ur.0650525555.42,12,9,1,project_pi,10279241; 10449372,R01CA262887,n,n,,,10,8.8,10,,publication,12,0,11,11,0,,,,9,9,0,,,,,
8656796,ur.0653637367.66; ur.013764044417.08,34,17,6,project_pi,10007618; 10061564; 10121531; 10290139; 10303044; 10308092; 10442604; 9262180; 9353356; 9425420; 9613233; 9771634; 9785408; 9828545,R01CA222560; R01CA248306; R21CA205825; R21CA256468; UH2CA213392; UH3CA213392,n,n,,,10,9.9,9.5,,publication,15,0,20,20,0,,,,9,9,0,,,,,
2162461,ur.01151576226.01; ur.015244600445.45,183,10,2,project_pi,9316572; 9527775,R33CA202834,n,n,,,6,6.9,8.7,,publication,72,0,7,7,0,,,,9,9,0,,,,,
10222475,ur.0764733116.50,15,12,1,project_pi,10158457; 9407668; 9513474; 9709255; 9933832,R01CA214131,n,n,,,3,3.9,3.7,,publication,10,0,4,4,0,,,,9,9,0,,,,,
7855162,ur.0673221741.23,21,15,2,project_pi,9321922,R21CA202485,n,n,,,6,7.6,8.3,,publication,10,0,15,15,0,,,,9,9,0,,,,,
11420716,ur.0676751335.52,30,9,2,project_pi,10226103; 10470023; 9798476; 9990756,R01CA241192,n,n,,,10,10.9,15.8,,publication,23,0,23,23,0,,,,9,9,0,,,,,
1979455,ur.0764656503.96,14,11,2,project_pi,9234476,R01CA118560,n,n,,,10.5,11.3,10.9,,publication,10,0,2,2,0,,,,9,9,0,,,,,
10266287,ur.01151211013.58,26,11,2,project_pi,10125116; 10360514; 10435139; 9498760; 9673697; 9896787,R01CA226894; R21CA270716,n,n,,,7,7.8,9.5,,publication,21,0,7,7,0,,,,9,9,0,,,,,
8923426,ur.01274062101.51,74,9,1,project_pi,10049446; 10203889; 10369027; 10499437,R01CA246626,n,n,,,8,11.8,21.7,,publication,12,0,7,7,0,,,,9,9,0,,,,,
6960093,ur.01121163366.21; ur.0750062334.92,169,29,2,project_pi,9221989,R21CA197362,n,n,,,7,8,8.6,,publication,34,0,14,14,0,,,,9,9,0,,,,,
8714836,ur.01364573006.68,20,9,1,project_pi,9652917,R21CA223141,n,n,,,10,11.4,14.4,,publication,19,0,11,11,0,,,,9,9,0,,,,,
14628789,ur.01356720550.11,47,25,1,project_pi,10056850; 10442178,R21CA245855,n,n,,,5,6.9,4.8,,publication,17,0,12,12,0,,,,9,9,0,,,,,
9365636,ur.0632470133.44,43,28,2,project_pi,9346606; 9528276,R00CA194198,n,n,,,5,6.1,5.7,,publication,12,0,17,17,0,,,,9,9,0,,,,,
8620911,ur.014616475547.09,68,31,1,project_pi,9272385,R01CA174459,n,n,,,6,6.1,4.8,,publication,10,0,2,2,0,,,,9,9,0,,,,,
8503308,ur.01250305765.86,47,23,1,project_pi,9254443; 9477628; 9683783,R01CA188034,n,n,,,7,6.9,7.2,,publication,12,0,9,9,0,,,,9,9,0,,,,,
9334159,ur.0774334206.06,44,24,2,project_pi,10118733; 10316249,R21CA256720,n,n,,,7,7.4,8.8,,publication,12,0,9,9,0,,,,9,9,0,,,,,
1950357,ur.014423511475.26,28,16,2,project_pi,9257294; 9300841,R01CA100498; R01CA153354,n,n,,,7,7.1,7.2,,publication,10,0,4,4,0,,,,9,9,0,,,,,
6077562,ur.01245331732.47,37,18,1,project_pi,9261500; 9379029,R01CA172256,n,n,,,7,8.9,11.4,,publication,12,0,13,13,0,,,,9,9,0,,,,,
10527713,ur.0631336515.96,14,10,1,project_pi,9237243,R21CA194871,y,n,,,7.5,8.1,9.7,,publication,9,0,7,7,0,,,,9,9,0,,,,,
11706324,ur.01330674624.16,24,10,3,project_pi,10225299; 10443596; 9325458; 9498747; 9525893; 9735196; 9966920,R00CA181488; R01CA227640,n,n,,,14.5,14.2,19.8,,publication,15,0,28,28,0,,,,9,9,0,,,,,
2111512,ur.01277616462.85,27,24,5,project_pi,10012292; 10071484; 10116341; 10190872; 10219989; 10362554; 10412057; 10462515; 9277423; 9487184; 9605534; 9776488; 9988382; 9992265,R01CA176166; R01CA225018; R01CA247232; R01CA254037,n,n,,,5,7.3,7.7,,publication,10,0,15,15,0,,,,9,9,0,,,,,
11817771,ur.011400570555.71; ur.012642203060.92; ur.011166245263.36,30,10,2,project_pi,10304516,R21CA258218,n,n,,,10,11.4,12.9,,publication,26,0,29,29,0,,,,9,9,0,,,,,
14630861,ur.01166332665.04,18,9,1,project_pi,10225501; 10452714; 9818341; 9973059,R01CA230904,n,n,,,9,10.7,12.7,,publication,18,0,23,23,0,,,,9,9,0,,,,,
12269818,ur.01247102013.55,29,15,3,project_pi,10290386; 10457440; 10510536; 9808331; 9936370,R21CA241004; R21CA263468; R21CA273630,n,n,,,9,10.1,11.3,,publication,18,0,12,12,0,,,,9,9,0,,,,,
8577750,ur.01372544735.24,42,18,1,project_pi,9812230,R15CA242177,n,n,,,8,8.3,8.2,,publication,13,0,8,8,0,,,,9,9,0,,,,,
1880376,ur.016025573677.19,210,14,2,project_pi,9188094,R21CA195110,n,n,,,9,13.6,24.2,,publication,31,0,27,27,0,,,,9,9,0,,,,,
6933066,ur.01327256021.06,25,16,4,project_pi,10297376; 10490396; 9257334; 9455619; 9663275; 9811702; 9820373; 9892978,R01CA196905; R01CA251172; R03CA250021,n,n,,,6,6.8,7.1,,publication,14,0,16,16,0,,,,9,9,0,,,,,
14587346,ur.016034565621.46,62,24,3,project_pi,10202229; 10370432; 10522265,R03CA259863; R37CA264563,n,n,,,5,5.7,6.8,,publication,17,0,14,14,0,,,,9,9,0,,,,,
11580191,ur.01344405443.37,19,9,3,project_pi,10177365; 10331085; 9353728; 9534535,R00CA180221; R01CA258372,n,n,,,7,8.6,10.8,,publication,16,0,20,20,0,,,,9,9,0,,,,,
9699837,ur.01214162453.69,139,24,1,project_pi,9669259; 9873929,R21CA227776,n,n,,,5,7.6,5.9,,publication,40,0,19,19,0,,,,9,9,0,,,,,
7358875,ur.0577662762.35,20,9,1,project_pi,9248249,R01CA169470,n,n,,,8,9.7,12.9,,publication,13,0,25,25,0,,,,9,9,0,,,,,
10775792,ur.01132562531.21,18,13,3,project_pi,10227021; 10446842; 9298611; 9361021; 9567533; 9767082; 9994231,R01CA181106; R01CA217905; R01CA262262,n,n,,,8.5,10.4,12.7,,publication,11,0,19,19,0,,,,9,9,0,,,,,
8033952,ur.01072317654.33,20,13,1,project_pi,9456282; 9778778,R21CA216697,n,n,,,9,17.2,21.8,,publication,14,0,24,24,0,,,,9,9,0,,,,,
8836839,ur.015344663510.08; ur.0665071301.10; ur.016035660765.61,21,9,1,project_pi,10691569,R01CA281361,n,n,,,14,14.7,17.8,,publication,15,0,40,40,0,,,,9,9,0,,,,,
8138800,ur.0620430457.96,93,22,1,project_pi,10312341; 10424571,R01CA260825,n,n,,,5,5.5,6.8,,publication,15,0,14,14,0,,,,9,9,0,,,,,
8146029,ur.011100703037.99,55,23,3,project_pi,10044635; 10366752; 9233936; 9438507,R01CA178856; R01CA259998; R21CA252558,n,n,,,7,7.9,7.6,,publication,16,0,16,16,0,,,,9,9,0,,,,,
1875417,ur.01315643367.20,21,16,3,project_pi,9322297,R01CA131407,n,n,,,8,9.6,10,,publication,10,0,18,18,0,,,,9,9,0,,,,,
1878809,ur.01273011766.49,60,41,1,project_pi,10111465; 10370300; 9231378; 9378916; 9437702; 9966111,R01CA076167,n,n,,,6,7.1,7.4,,publication,14,0,16,16,0,,,,9,9,0,,,,,
9501963,ur.0643726164.47,20,14,2,project_pi,9330120; 9540812,R01CA178908,n,n,,,12,13.7,12.5,,publication,13,0,12,12,0,,,,9,9,0,,,,,
10410118,ur.01033205277.08,25,15,1,project_pi,9880530,R15CA246336,n,n,,,9,8.6,9.9,,publication,15,0,10,10,0,,,,9,9,0,,,,,
8030946,ur.014576612621.44; ur.014336306635.10; ur.014650771215.70; ur.013226762725.10,46,25,1,project_pi,9321593,R01CA172570,n,n,,,9,9.5,9.8,,publication,12,0,23,23,0,,,,9,9,0,,,,,
1860773,ur.01221333331.53,19,19,3,project_pi,10512309; 9188523; 9383025; 9600683; 9828529,R01CA055248; R21CA267540,y,n,,,4,11.5,11.5,,publication,9,0,31,31,0,,,,9,9,0,,,,,
6806776,ur.0733637760.50,277,89,1,project_pi,9508147; 9645610,R21CA226303,n,n,,,14,15.7,20.3,,publication,18,0,30,30,0,,,,9,9,0,,,,,
8452392,ur.013253670074.36,22,18,5,project_pi,10092787; 10435355; 9353341; 9771631; 9784753; 9810513; 9932933; 9996513,R21CA229967; R21CA263223; UH2CA213385; UH3CA213385,n,n,,,6,8,7.6,,publication,10,0,11,11,0,,,,9,9,0,,,,,
15060201,ur.015270174407.02,21,11,1,project_pi,10194420; 10424504; 9797783; 9955214,R01CA240835,n,n,,,7,8.2,10.1,,publication,13,0,17,17,0,,,,9,9,0,,,,,
10509148,ur.0720475452.06,41,20,1,project_pi,10022099; 10236356; 10472550; 9736026,R01CA220012,n,n,,,7,7.3,8.4,,publication,15,0,14,14,0,,,,9,9,0,,,,,
15871925,ur.011234417567.90,32,11,1,project_pi,10296519; 10430266,R37CA256810,n,n,,,4,7.8,4.5,,publication,17,0,16,16,0,,,,9,9,0,,,,,
7627933,ur.0646751665.49,30,25,3,project_pi,10197021; 10436861; 9822594; 9970460,R01CA229431,n,n,,,7,8.2,7.9,,publication,11,0,12,12,0,,,,9,9,0,,,,,
6624823,ur.011622362557.01; ur.01232535770.48,42,9,1,project_pi,10113562; 10347318; 9733503; 9891028,R01CA230268,n,n,,,5,5.9,7.1,,publication,18,0,15,15,0,,,,9,9,0,,,,,
8878451,ur.01314112525.07,31,25,2,project_pi,10395222; 9319243; 9545706; 9766194,R01CA190467,n,n,,,11,11.8,12,,publication,10,0,21,21,0,,,,9,9,0,,,,,
8703876,ur.0731677142.47,39,22,2,project_pi,10371286; 9540125,DP2CA174495; R56CA260972,n,n,,,4,4.5,4.9,,publication,15,0,4,4,0,,,,9,9,0,,,,,
12602298,ur.0706505236.03,15,9,1,project_pi,10473150,DP2CA281605,n,n,,,17,19.2,20.1,,publication,15,0,25,25,0,,,,9,9,0,,,,,
8658668,ur.01345550073.07,38,31,2,project_pi,9296086; 9513440; 9724382,R01CA140522,y,n,,,6,8.6,9.2,,publication,9,0,17,17,0,,,,9,9,0,,,,,
9611686,ur.0776036566.75,30,23,2,project_pi,9251783,R03CA197206,n,n,,,7,7.3,7.3,,publication,12,0,8,8,0,,,,9,9,0,,,,,
9733196,ur.011142647727.00,180,19,1,project_pi,10159868; 10390413; 9949176,R01CA245894,n,n,,,10,11.9,16.3,,publication,33,0,20,20,0,,,,9,9,0,,,,,
6381341,ur.01250155066.14,43,29,3,project_pi,10512145,R03CA273469,n,n,,,4,17.5,21,,publication,11,0,42,42,0,,,,9,9,0,,,,,
