"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
8094764,ur.015570651313.53; ur.0656236273.24,144,60,12,project_pi,10060453; 10117212; 10120652; 10135031; 10163811; 10212357; 10379447; 10462534; 9336269; 9368502; 9511765; 9533498; 9658346; 9700072; 9753977; 9867539; 9905498; 9928027; 9954595,R01CA218356; R01CA246304; R01CA253651; R21CA235340; R21CA240887; U01CA198900,n,n,,,15,16,19.8,,Multiple,116,8,54,54,7,,,,58,50,8,,,,,
10134900,ur.015701176117.49,157,52,10,project_pi,10038030; 10094211; 10214744; 10263962; 10331769; 10409749; 10686449; 9228340; 9437723; 9916997,R01CA181648; R01CA247479; UG3CA260692; UH2CA260389; UH3CA260692,n,n,,,10,11.3,14.7,,Multiple,144,9,120,108,25,,,,59,50,9,,,,,
6880185,ur.01276416637.39,247,64,11,project_pi,10025093; 10070596; 10085216; 10237960; 10296681; 10304196; 10453424; 10460439; 10522572; 10522920; 10533572; 9212787; 9326814; 9416818; 9439608; 9538587; 9613810; 9617641; 9679175; 9830151; 9830597; 9897345,P30CA054174; R01CA178499; R01CA179120; R01CA223828; R01CA239227; R01CA262757; R01CA266970; R01CA267893,n,n,,,9,10.1,13.2,,Multiple,174,10,48,45,13,,,,64,54,10,,,,,
6896322,ur.01052322735.26,159,96,14,project_pi,10053272; 10111475; 10114240; 10236531; 10273891; 10328973; 10400062; 10478193; 10489753; 10533581; 10533613; 9212108; 9237209; 9332342; 9424325; 9437735; 9447129; 9538174; 9561979; 9645611; 9660279; 9676896; 9763512; 9878080; 9918875,R01CA174929; R01CA192914; R01CA222508; R01CA227942; R35CA242447; U01CA202241; U01CA250044,n,n,,,7,8.9,9.4,,Multiple,100,11,96,95,14,,,,66,56,10,,,,,
1891854,ur.015727100032.90,155,72,11,project_pi,10165375; 10208824; 10212723; 10228004; 10456885; 10473688; 10488774; 10492440; 9344320; 9553534; 9615558; 9755391; 9783633; 9783634; 9783635; 9783636; 9783637; 9788880; 9973064; 9986714,P30CA068485; R01CA225005; R01CA240093; UG3CA260318,n,n,,,10,11,13.2,,Multiple,111,10,98,74,30,,,,69,60,9,,,,,
9164004,ur.01176356032.91,335,111,11,project_pi,10003980; 10082818; 10082850; 10082862; 10131141; 10242893; 10265425; 10266782; 10266810; 10267704; 10369668; 10473811; 10478256; 10488603; 10492489; 10493892; 10539737; 10652738; 9238457; 9333291; 9333298; 9335811; 9404839; 9533867; 9534013; 9539978; 9547817; 9677923; 9768389; 9768978; 9769663; 9774843; 9830172; 9961257; 9997562,P20CA233304; R01CA163830; U01CA274996; U54CA202995; U54CA202997; U54CA203000; U54CA221205; U54CA272163,n,n,,,7,9.3,9,,Multiple,158,14,103,78,53,,,,69,59,10,,,,,
8710339,ur.0717011043.66,111,67,11,project_pi,10057373; 10144949; 10145596; 10279058; 10280010; 10307534; 10388292; 10428469; 10491904; 10492456; 9234492; 9236173; 9321898; 9447127; 9447136; 9518751; 9627936; 9730402; 9818865; 9865776; 9873933; 9927595; 9943903; 9982232,P50CA196510; R01CA177670; R01CA203890; R01CA244938; R01CA248917; R01CA262506; R01CA262555,n,n,,,13,16.8,21.3,,Multiple,99,8,166,163,17,,,,71,63,8,,,,,
10311287,ur.01013470160.30; ur.01014767040.43; ur.01343031412.68,359,96,8,project_pi,10067695; 10069488; 10251326; 10256749; 10380482; 10440142; 10456859; 10469140; 10469432; 10673273; 10687334; 10747635; 9329292; 9332349; 9333281; 9459474; 9540842; 9542269; 9552742; 9598145; 9762862; 9772842; 9776470,U01CA199218; U01CA199284; U01CA199338; U01CA253858; U01CA253911,n,n,,,10,11.7,12.9,,Multiple,120,8,83,82,16,,,,73,65,8,,,,,
1894075,ur.015003472057.84,768,596,16,project_pi,10024650; 10084839; 10212723; 10263990; 10321615; 10488772; 10492440; 9247165; 9326247; 9330695; 9355135; 9458708; 9540692; 9663492; 9674403; 9842619; 9899944,P20CA210300; P30CA068485; R01CA204113; R01CA227133; U01CA187508; UG3CA260318; UM1CA173640,n,n,,,13,46.8,52.5,,Multiple,720,8,401,386,28,,,,589,581,8,,,,,
7040249,ur.0665120733.67,275,85,10,project_pi,10072490; 10212990; 10219977; 10298217; 10317236; 10330855; 10413908; 10458067; 10458721; 10489391; 10506036; 9260865; 9333106; 9337400; 9383632; 9451235; 9717074; 9722610; 9725005; 9753971; 9766202; 9851969; 9987295,R01CA140574; R01CA212086; R01CA247790; R01CA257333; R21CA265400; U01CA182940; U01CA199336; U01CA265729; U24CA272897,n,n,,,7,8.6,9.9,,Multiple,178,8,103,101,12,,,,78,70,8,,,,,
